#Level1	Level2	Level3	unknown	Pathway
Activation/Inactivation/Interconversion	Activation	Glucosinolate Activation	glucosinolate breakdown	PWY-5267
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	salvianin biosynthesis	PWY-5268
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Phospholipid Biosynthesis	cardiolipin biosynthesis II	PWY-5269
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	morphine biosynthesis	PWY-5270
Degradation/Utilization/Assimilation	Hormone Degradation	Plant Hormone Degradation	phaseic acid biosynthesis	PWY-5271
Activation/Inactivation/Interconversion	Interconversions	Degradation/Utilization/Assimilation	abscisic acid glucose ester metabolism	PWY-5272
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Superpathways	p-cumate degradation	PWY-5273
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfide oxidation II (sulfide dehydrogenase)	PWY-5274
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfite oxidation I (sulfite oxidoreductase)	PWY-5276
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	thiosulfate disproportionation I (thiol-dependent)	PWY-5277
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfite oxidation III	PWY-5278
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfite oxidation II	PWY-5279
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-lysine degradation IV	PWY-5280
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-lysine degradation V	PWY-5283
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	shisonin biosynthesis	PWY-5284
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfide oxidation III (sulfur dioxygenase)	PWY-5285
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	anthocyanidin sophoroside metabolism	PWY-5286
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	sanguinarine and macarpine biosynthesis	PWY-5287
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	astaxanthin biosynthesis (bacteria, fungi, algae)	PWY-5288
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	secologanin and strictosidine biosynthesis	PWY-5290
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	canthaxanthin biosynthesis	PWY-5291
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	vindoline and vinblastine biosynthesis	PWY-5292
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	superpathway of sulfide oxidation (Acidithiobacillus ferrooxidans)	PWY-5294
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	ternatin C5 biosynthesis	PWY-5295
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	thiosulfate oxidation III (multienzyme complex)	PWY-5296
Biosynthesis	Tetrapyrrole Biosynthesis	Porphyrin Compound Biosynthesis	siroheme amide biosynthesis	PWY-5297
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-lysine degradation VI	PWY-5298
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	ajmaline and sarpagine biosynthesis	PWY-5301
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfur disproportionation II (aerobic)	PWY-5302
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	thiosulfate oxidation II (via tetrathionate)	PWY-5303
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	superpathway of sulfur oxidation (Acidianus ambivalens)	PWY-5304
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	bixin biosynthesis	PWY-5305
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	PWY-5306
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	gentiodelphin biosynthesis	PWY-5307
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	superpathway of sulfur metabolism (Desulfocapsa sulfoexigens)	PWY-5308
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	superpathway of anthocyanin biosynthesis (from delphinidin 3-O-glucoside)	PWY-5310
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-lysine degradation VII	PWY-5311
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	superpathway of anthocyanin biosynthesis (from pelargonidin 3-O-glucoside)	PWY-5312
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-O-glucoside)	PWY-5313
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-lysine degradation VIII	PWY-5314
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	N-methyl-&Delta,1-pyrrolinium cation biosynthesis	PWY-5315
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	nicotine biosynthesis	PWY-5316
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	hyoscyamine and scopolamine biosynthesis	PWY-5317
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	calystegine biosynthesis	PWY-5318
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	coumarin metabolism (to melilotic acid)	PWY-5319
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	kaempferol glycoside biosynthesis (Arabidopsis)	PWY-5320
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	quercetin glycoside biosynthesis (Arabidopsis)	PWY-5321
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-lysine degradation IX	PWY-5324
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfite oxidation IV	PWY-5326
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	superpathway of L-lysine degradation	PWY-5327
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	superpathway of L-methionine salvage and degradation	PWY-5328
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-cysteine degradation III	PWY-5329
Biosynthesis	Secondary Metabolite Biosynthesis	Sulfur-Containing Secondary Compound Biosynthesis	taurine biosynthesis	PWY-5331
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfur reduction I	PWY-5332
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	superpathway of sulfide oxidation (Starkeya novella)	PWY-5335
Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other	Carbon Disulfide Degradation	carbon disulfide oxidation II (aerobic)	PWY-5336
Biosynthesis	Carbohydrate Biosynthesis	Oligosaccharide Biosynthesis	stachyose biosynthesis	PWY-5337
Biosynthesis	Secondary Metabolite Biosynthesis	Sugar Derivative Biosynthesis	galactosylcyclitol biosynthesis	PWY-5338
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	chalcone 2'-O-glucoside biosynthesis	PWY-5339
Activation/Inactivation/Interconversion	Activation	Degradation/Utilization/Assimilation	sulfate activation for sulfonation	PWY-5340
Biosynthesis	Carbohydrate Biosynthesis	Oligosaccharide Biosynthesis	ajugose biosynthesis I (galactinol-dependent)	PWY-5342
Biosynthesis	Carbohydrate Biosynthesis	Oligosaccharide Biosynthesis	ajugose biosynthesis II (galactinol-independent)	PWY-5343
Biosynthesis	Amino Acid Biosynthesis	Other Amino Acid Biosynthesis	L-homocysteine biosynthesis	PWY-5344
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	superpathway of L-methionine biosynthesis (by sulfhydrylation)	PWY-5345
Biosynthesis	Amino Acid Biosynthesis	Proteinogenic Amino Acid Biosynthesis	superpathway of L-methionine biosynthesis (transsulfuration)	PWY-5347
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	kaempferol triglucoside biosynthesis	PWY-5348
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	esculetin biosynthesis	PWY-5349
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	thiosulfate disproportionation III (rhodanese)	PWY-5350
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	thiosulfate disproportionation II (non thiol-dependent)	PWY-5352
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	arachidonate biosynthesis I (lower eukaryotes)	PWY-5353
Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other	unknow	nitroethane degradation	PWY-5355
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	tetrathionate reduction I (to thiosulfate)	PWY-5358
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	tetrathionate reductiuon II (to trithionate)	PWY-5359
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	superpathway of tetrathionate reduction (Salmonella typhimurium)	PWY-5360
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	(5Z)-icosenoate biosynthesis	PWY-5361
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	sapienate biosynthesis	PWY-5362
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	chrysin biosynthesis	PWY-5363
Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	Sulfur Compound Metabolism	sulfur reduction II (via polysulfide)	PWY-5364
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	linear furanocoumarin biosynthesis	PWY-5365
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	palmitoleate biosynthesis II (plants and bacteria)	PWY-5366
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	petroselinate biosynthesis	PWY-5367
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	dimorphecolate biosynthesis	PWY-5368
Degradation/Utilization/Assimilation	Chlorinated Compound Degradation	Carbon Tetrachloride Degradation	carbon tetrachloride degradation I	PWY-5370
Degradation/Utilization/Assimilation	Chlorinated Compound Degradation	Carbon Tetrachloride Degradation	carbon tetrachloride degradation II	PWY-5372
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	calendate biosynthesis	PWY-5373
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	punicate biosynthesis	PWY-5374
Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid Biosynthesis	&alpha,-eleostearate biosynthesis	PWY-5375
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	&alpha,-amyrin biosynthesis	PWY-5377
Biosynthesis	Secondary Metabolite Biosynthesis	Sugar Derivative Biosynthesis	B series fagopyritols biosynthesis	PWY-5379
Biosynthesis	Secondary Metabolite Biosynthesis	Sugar Derivative Biosynthesis	A series fagopyritols biosynthesis	PWY-5380
Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	Carrier Biosynthesis	pyridine nucleotide cycling (plants)	PWY-5381
Generation of Precursor Metabolites and Energy	Chemoautotrophic Energy Metabolism	Hydrogen Oxidation	hydrogen oxidation II (aerobic, NAD)	PWY-5382
Degradation/Utilization/Assimilation	Carbohydrate Degradation	Sugar Degradation	sucrose degradation IV (sucrose phosphorylase)	PWY-5384
Degradation/Utilization/Assimilation	Aldehyde Degradation	Methylglyoxal Detoxification	methylglyoxal degradation I	PWY-5386
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	N-glucosylnicotinate metabolism	PWY-5388
Biosynthesis	Secondary Metabolite Biosynthesis	Sulfur-Containing Secondary Compound Biosynthesis	3-methylthiopropanoate biosynthesis	PWY-5389
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	rutin biosynthesis	PWY-5390
Biosynthesis	Secondary Metabolite Biosynthesis	Phenylpropanoid Derivative Biosynthesis	syringetin biosynthesis	PWY-5391
Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	CO2 Fixation	reductive TCA cycle II	PWY-5392
Biosynthesis	Secondary Metabolite Biosynthesis	Polyketide Biosynthesis	raspberry ketone biosynthesis	PWY-5393
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	betalamic acid biosynthesis	PWY-5394
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	crocetin biosynthesis	PWY-5397
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	crocetin esters biosynthesis	PWY-5398
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	betacyanin biosynthesis	PWY-5399
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	amaranthin biosynthesis	PWY-5400
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	betaxanthin biosynthesis (via dopamine)	PWY-5403
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	betaxanthin biosynthesis (via dopaxanthin)	PWY-5404
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	superpathway of betalain biosynthesis	PWY-5405
Biosynthesis	Secondary Metabolite Biosynthesis	Fatty Acid Derivative Biosynthesis	divinyl ether biosynthesis I	PWY-5406
Biosynthesis	Secondary Metabolite Biosynthesis	Fatty Acid Derivative Biosynthesis	9-lipoxygenase and 9-allene oxide synthase pathway	PWY-5407
Biosynthesis	Secondary Metabolite Biosynthesis	Fatty Acid Derivative Biosynthesis	9-lipoxygenase and 9-hydroperoxide lyase pathway	PWY-5408
Biosynthesis	Secondary Metabolite Biosynthesis	Fatty Acid Derivative Biosynthesis	divinyl ether biosynthesis II	PWY-5409
Biosynthesis	Secondary Metabolite Biosynthesis	Fatty Acid Derivative Biosynthesis	traumatin and (Z)-3-hexen-1-yl acetate biosynthesis	PWY-5410
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	abietic acid biosynthesis	PWY-5411
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	levopimaric acid biosynthesis	PWY-5412
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	neoabietic acid biosynthesis	PWY-5413
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	palustric acid biosynthesis	PWY-5414
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Catechol Degradation	catechol degradation I (meta-cleavage pathway)	PWY-5415
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	superpathway of diterpene resin acids biosynthesis	PWY-5416
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Catechol Degradation	catechol degradation III (ortho-cleavage pathway)	PWY-5417
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Phenolic Compound Degradation	phenol degradation I (aerobic)	PWY-5418
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Catechol Degradation	catechol degradation to 2-oxopent-4-enoate II	PWY-5419
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Catechol Degradation	catechol degradation II (meta-cleavage pathway)	PWY-5420
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	dehydroabietic acid biosynthesis	PWY-5421
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	isopimaric acid biosynthesis	PWY-5422
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	oleoresin monoterpene volatiles biosynthesis	PWY-5423
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	superpathway of oleoresin turpentine biosynthesis	PWY-5424
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	oleoresin sesquiterpene volatiles biosynthesis	PWY-5425
Biosynthesis	Secondary Metabolite Biosynthesis	Nitrogen-Containing Secondary Compound Biosynthesis	betaxanthin biosynthesis	PWY-5426
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Naphthalene Degradation	naphthalene degradation (aerobic)	PWY-5427
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Dimethylbenzene Degradation	m-xylene degradation to m-toluate	PWY-5428
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Dimethylbenzene Degradation	p-xylene degradation to p-toluate	PWY-5429
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Benzoate Degradation	meta cleavage pathway of aromatic compounds	PWY-5430
Degradation/Utilization/Assimilation	Aromatic Compound Degradation	Catechol Degradation	aromatic compounds degradation via &beta,-ketoadipate	PWY-5431
Biosynthesis	Secondary Metabolite Biosynthesis	Fatty Acid Derivative Biosynthesis	superpathway of lipoxygenase	PWY-5433
Biosynthesis	Secondary Metabolite Biosynthesis	Terpenoid Biosynthesis	(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis	PWY-5434
Degradation/Utilization/Assimilation	Amino Acid Degradation	Proteinogenic Amino Acid Degradation	L-threonine degradation IV	PWY-5436
